State/federal,Total,Male,Female,Total,White/a,Black/a,Hispanic,American Indian/Alaska Native/a,Asian/a,Native Hawaiian/Other Pacific Islander/a,Two or more races/a,Other/a,Unknown,Did not report,Rated Capacity,Operational Capacity,Design Capacity ,Custody population,Lowest capacity,Highest capacity,Held in private prisons,Held in local jails,Total of Non-US residents sentenced 2019,Male non- US residents sentenced 2019,Female non- US residents sentenced 2019,2019 Non-U.S. citizen prisoners sentenced to more than 1 year ,2019 Male Non-U.S. citizen prisoners sentenced to more than 1 year ,2019 Female Non-U.S. citizen prisoners sentenced to more than 1 year ,Total Imprisonment rates per 100000 in 2019,Male imprisonment rate 2019,Female imprisonment rate 2019,Age 18 or older imprisonment rate 2019,Total of minors in custody in pulic private or federal custody,Total male minors,Total female minors
U.S. total,"1,380,427","1,279,079","101,348","175,116","50,862","64,079","54,070","3,731","2,374",0,0,0,0,0,"134,133",0,0,"147,404",109.9,109.9,"115,954","78,625","97,897","70,048","2,631","92,860","65,260","2,383",419,789,61,539,653,631,22
Federal,"158,498","147,422","11,076",,,,,,,,,,,,,,,,,,"27,409",698,"31,458","30,060","1,398","27,352","26,140","1,212",48,91,7,62,27,26,1
State,"1,221,929","1,131,657","90,272","28,304","13,454","14,631",0,2,4,0,0,0,213,0,0,"22,231","12,412","21,802",175.7,98.1,"88,545","77,927","66,439","39,988","1,233","65,508","39,120","1,171",371,698,54,477,626,605,21
Alabama,"20,595","19,192","1,403","4,475","1,863",454,123,"1,777",44,182,0,0,32,0,"4,838",0,"4,664","4,346",93.2,89.8,122,"2,569",982,0,0,982,0,0,419,809,55,539,2,2,0
Alaska,"1,782","1,700",82,"42,441","16,523","6,233","16,385","2,366",194,0,1,739,0,0,"38,872","45,091","38,872","42,441",109.2,94.1,221,38,0,0,0,0,0,0,244,447,23,323,5,5,0
Arizona,"40,951","36,847","4,104","17,759","9,767","7,282",568,48,61,10,0,17,6,0,"16,335","16,374","15,767","15,742",99.8,96.1,"8,291",0,"3,197","3,069",128,"3,126","3,004",122,558,"1,010",111,719,55,52,3
Arkansas,"17,713","16,156","1,557","122,687","25,510","35,056","54,115","1,389","1,356",367,0,"4,894",0,0,0,"125,465","89,663","121,062",135,96.5,0,"1,667",276,261,15,275,260,15,586,"1,089",101,762,8,8,0
"California/d,e","122,417","116,929","5,488","19,785","9,026","3,507","6,251",749,249,0,0,0,3,0,0,"14,691","13,145","15,689",119.4,106.8,"1,134","1,599","22,574",0,0,"22,574",0,0,310,595,28,399,0,0,0
Colorado/f,"19,785","17,866","1,919","12,823","3,803","5,457","3,449",39,73,0,0,0,2,0,0,0,0,"12,274",0,0,"3,858",238,"1,424","1,360",64,"1,424","1,360",64,341,612,67,436,7,7,0
Connecticut/c,"8,751","8,232",519,"5,692","1,932","3,436",313,0,7,0,0,0,4,0,"5,514","5,566","4,062","5,049",124.3,90.7,526,0,329,313,16,242,232,10,245,473,28,308,52,50,2
