Race/ethnicity of offender,"U.S. resident population, 7/1/2018",Nonfatal violent crimes,Nonfatal violent crimes excluding other assault,Number of incidents of violent crime ,Number of offenders,Ratio of offenders to incidents,Offenders in the NCVS,Offenders in NCVS incidents reported to police,Persons arrested in the UCR*,Rape,Robbery,Aggravated assault,Other assault,Offenders in the NCVS/a,Offenders in NCVS incidents reported to police,Persons arrested in the UCR*,Single-offender incidents,Multiple-offender incidents,All violent offenses
White,60,46,39,2250300,2588800,1,44,41,39,12794,29025,184527,512025,52,48,46,59,38,738371
Black,13,33,36,980800,1432600,1,36,43,36,5376,36187,100393,254360,29,35,33,22,43,396316
Hispanic,18,18,21,560900,702300,1,16,12,21,267,676,6736,15711,14,13,18,14,16,23390
American Indian/Alaska Native,1,2,2,64700,78600,1,1,1,2,289,641,5078,10348,2,1,2,1,2,16356
Asian,6,1,2,78700,86800,1,3,3,2,50,260,1306,2343,2,2,1,2,1,3959
Native Hawaiian/Other Pacific Islander,0,0,0,17800,21100,1,0,0,0,18776,66789,298040,794787,0,1,0,1,0,0
Two or more races,2,0,0,47300,47300,1,1,0,0,0,0,0,0,1,1,0,1,0,0
Total,100,100,100,3857100,4957600,1,100,100,100,18776,66789,298040,794787,100,100,100,3399000,1558600,1178392
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
