"Number and rate of persons supervised by adult correctional systems in the U.S., by jurisdiction and correctional status, 2017",Total correctional population,,,,Community-supervision population,,,,Incarcerated population,,
Jurisdiction,"Total correctional population, 12/31/2017/a","Adults supervised per 100,000 U.S. residents age 18 or older/b","Adults supervised per 100,000 U.S. residents of all ages/b",,"Adults on probation/parole, 12/31/2017/c","Adults on probation/parole per 100,000 U.S. residents age 18 or older/b","Adults on probation/parole per 100,000 U.S. residents of all ages/b",,"Adults in prison/local jail, 12/31/2017/d","Adults in prison/local jail per 100,000 U.S. residents age 18 or older/b","Adults in prison/local jail per 100,000 U.S. residents of all ages"
Federal,"310,400",120,100,,"128,200",50,40,,"182,200",70,60
State,"6,212,700","2,460","1,900",,"4,380,700","1,730","1,340",,"1,944,900",770,600
Alabama,"99,000","2,610","2,030",,"60,700","1,600","1,240",,"40,400","1,070",830
Alaska,"12,600","2,270","1,710",,"8,200","1,480","1,110",,"4,400",800,600
Arizona,"137,200","2,510","1,930",,"84,600","1,550","1,190",,"54,700","1,000",770
Arkansas,"73,100","3,170","2,430",,"52,200","2,260","1,730",,"24,500","1,060",810
California,"532,000","1,750","1,350",,"328,200","1,080",830,,"203,900",670,520
Colorado,"122,600","2,790","2,170",,"91,300","2,080","1,610",,"32,500",740,580
Connecticut,"56,000","1,980","1,570",,"43,900","1,550","1,230",,"14,000",500,390
Delaware,"21,800","2,880","2,270",,"15,400","2,030","1,600",,"6,400",850,670
District of Columbia/e,"9,900","1,720","1,410",,"9,000","1,580","1,290",,"1,800",320,260
Florida,"361,600","2,140","1,710",,"214,200","1,270","1,010",,"149,800",890,710
Georgia,"502,700","6,320","4,800",,"435,800","5,480","4,160",,"93,400","1,170",890
Hawaii,"27,100","2,430","1,910",,"21,500","1,920","1,510",,"5,600",500,400
Idaho,"50,300","3,890","2,890",,"38,100","2,950","2,190",,"12,200",940,700
Illinois,"189,000","1,910","1,480",,"129,000","1,300","1,010",,"60,000",610,470
Indiana,"163,500","3,200","2,450",,"118,500","2,320","1,770",,"45,000",880,670
Iowa,"47,000","1,950","1,490",,"35,500","1,470","1,130",,"13,400",560,430
Kansas,"38,900","1,760","1,330",,"22,200","1,010",760,,"17,600",800,600
Kentucky,"103,000","2,980","2,310",,"67,400","1,950","1,510",,"36,300","1,050",810
Louisiana,"111,300","3,120","2,380",,"70,800","1,990","1,520",,"44,600","1,250",960
Maine,"10,400",950,780,,"6,800",630,510,,"4,100",370,300
Maryland,"98,400","2,100","1,630",,"81,700","1,740","1,350",,"28,600",610,470
Massachusetts,"77,400","1,400","1,120",,"59,100","1,070",860,,"18,400",330,270
Michigan,"228,100","2,920","2,280",,"173,200","2,220","1,730",,"55,100",700,550
Minnesota,"121,900","2,840","2,180",,"105,900","2,470","1,890",,"16,700",390,300
Mississippi,"61,300","2,690","2,050",,"37,200","1,630","1,250",,"27,800","1,220",930
Missouri,"105,400","2,220","1,720",,"60,500","1,280",990,,"44,900",950,730
Montana,"15,500","1,880","1,470",,"10,700","1,290","1,010",,"5,600",670,530
Nebraska,"24,200","1,670","1,260",,"15,200","1,050",790,,"9,000",620,470
Nevada,"39,300","1,690","1,310",,"18,700",800,620,,"20,600",890,690
New Hampshire,"10,700",980,790,,"6,400",580,470,,"4,300",400,320
New Jersey,"184,000","2,650","2,070",,"154,500","2,230","1,740",,"30,700",440,350
New Mexico,"28,700","1,780","1,370",,"15,200",950,730,,"13,400",840,640
New York,"208,700","1,350","1,070",,"140,900",910,720,,"72,700",470,370
North Carolina,"151,400","1,890","1,470",,"96,000","1,200",930,,"55,400",690,540
North Dakota,"10,300","1,780","1,360",,"7,200","1,240",950,,"3,100",540,410
Ohio,"334,400","3,680","2,860",,"265,100","2,920","2,270",,"70,900",780,610
Oklahoma,"83,500","2,800","2,120",,"43,800","1,470","1,110",,"39,700","1,330","1,010"
Oregon,"84,900","2,580","2,040",,"63,900","1,940","1,530",,"21,000",640,500
Pennsylvania,"367,300","3,620","2,870",,"292,100","2,880","2,280",,"81,600",800,640
Rhode Island,"23,400","2,750","2,210",,"22,400","2,640","2,120",,"2,900",340,270
South Carolina,"68,000","1,720","1,350",,"37,500",950,740,,"30,500",770,600
South Dakota,"14,500","2,200","1,650",,"8,700","1,320",990,,"5,900",900,670
Tennessee,"119,600","2,290","1,770",,"72,800","1,390","1,080",,"50,700",970,750
Texas,"677,100","3,200","2,370",,"478,500","2,260","1,680",,"217,800","1,030",760
Utah,"26,200","1,190",840,,"16,300",740,520,,"12,300",560,390
Vermont,"6,800","1,330","1,080",,"5,200","1,020",830,,"1,500",300,250
Virginia,"120,800","1,820","1,420",,"64,200",970,760,,"56,600",860,670
Washington,"120,800","2,070","1,610",,"94,500","1,620","1,260",,"31,000",530,410
West Virginia,"20,900","1,440","1,150",,"9,900",680,550,,"11,000",760,610
Wisconsin,"100,800","2,230","1,740",,"64,400","1,420","1,110",,"36,400",800,630
Wyoming,"10,000","2,250","1,720",,"5,900","1,340","1,030",,"4,000",910,690
