End Quarter Date,Facility Name,Average Inmate Population,Average Number of Permanent Beds,Inmate Population Density
6/30/19,Bridgeport,709,879,80.7
6/30/19,Brooklyn,454,456,99.6
6/30/19,Cheshire,1315,1560,84.3
6/30/19,Corrigan-Radgowski,1101,1304,84.4
6/30/19,CRCI,1461,1512,96.6
6/30/19,Enfield,0,740,0
6/30/19,Garner,574,750,76.5
6/30/19,Gates,0,1139,0
6/30/19,Hartford,930,1035,89.9
6/30/19,MacDougall/Walker,1948,2218,87.8
6/30/19,MYI,320,704,45.5
6/30/19,New Haven,711,769,92.5
6/30/19,Northern,193,577,33.4
6/30/19,Osborn,1330,1505,88.4
6/30/19,Webster,0,584,0
6/30/19,Willard-Cybulski,1146,1148,99.8
6/30/19,York,882,1344,65.6
9/30/19,Bridgeport,709,1087,65.2
9/30/19,Brooklyn,454,456,99.6
9/30/19,Cheshire,1315,1559,84.3
9/30/19,Corrigan-Radgowski,1101,1557,70.7
9/30/19,CRCI,1461,1512,96.6
9/30/19,Enfield,0,740,0
9/30/19,Garner,574,749,76.6
9/30/19,Gates,0,1139,0
9/30/19,Hartford,930,1035,89.9
9/30/19,MacDougall/Walker,1948,2215,87.9
9/30/19,MYI,320,706,45.3
9/30/19,New Haven,711,769,92.5
9/30/19,Northern,193,577,33.4
9/30/19,Osborn,1330,1505,88.4
9/30/19,Webster,0,584,0
9/30/19,Willard-Cybulski,1146,1148,99.8
9/30/19,York,882,1342,65.7
12/31/19,Bridgeport,688,1087,63.3
12/31/19,Brooklyn,448,456,98.2
12/31/19,Cheshire,1234,1559,79.2
12/31/19,Corrigan-Radgowski,1164,1557,74.8
12/31/19,CRCI,1395,1512,92.3
12/31/19,Enfield,0,740,0
12/31/19,Garner,552,749,73.7
12/31/19,Gates,0,1139,0
12/31/19,Hartford,871,1035,84.2
12/31/19,MacDougall/Walker,1921,2215,86.7
12/31/19,MYI,281,706,39.8
12/31/19,New Haven,691,769,89.9
12/31/19,Northern,76,577,13.2
12/31/19,Osborn,1312,1505,87.2
12/31/19,Webster,0,584,0
12/31/19,Willard-Cybulski,1109,1148,96.6
12/31/19,York,898,1342,66.9
3/31/20,Bridgeport,676,1087,62.2
3/31/20,Brooklyn,426,456,93.4
3/31/20,Cheshire,1169,1559,75
3/31/20,Corrigan-Radgowski,1174,1557,75.4
3/31/20,CRCI,1320,1512,87.3
3/31/20,Enfield,0,740,0
