Year,State,TotalsViolentAll
1960,Alabama,6097
1961,Alabama,5564
1962,Alabama,5283
1963,Alabama,6115
1964,Alabama,7260
1965,Alabama,6916
1966,Alabama,8098
1967,Alabama,8448
1968,Alabama,8288
1969,Alabama,8842
1970,Alabama,10185
1971,Alabama,10835
1972,Alabama,10994
1973,Alabama,12390
1974,Alabama,13338
1975,Alabama,14201
1976,Alabama,14248
1977,Alabama,15293
1978,Alabama,15682
1979,Alabama,15578
1980,Alabama,17320
1981,Alabama,18423
1982,Alabama,17653
1983,Alabama,16471
1984,Alabama,17204
1985,Alabama,18398
1986,Alabama,22616
1987,Alabama,22833
1988,Alabama,23052
1989,Alabama,24329
1990,Alabama,28630
1991,Alabama,34518
1992,Alabama,36052
1993,Alabama,32676
1994,Alabama,28844
1995,Alabama,26894
1996,Alabama,24159
1997,Alabama,24379
1998,Alabama,22286
1999,Alabama,21421
2000,Alabama,21620
2001,Alabama,19582
2002,Alabama,19931
2003,Alabama,19331
2004,Alabama,19324
2005,Alabama,19678
2006,Alabama,19553
2007,Alabama,20775
2008,Alabama,21110
2009,Alabama,21194
2010,Alabama,18363
2011,Alabama,20166
2012,Alabama,21693
1960,Alaska,236
1961,Alaska,208
1962,Alaska,225
1963,Alaska,272
1964,Alaska,375
1965,Alaska,377
1966,Alaska,409
1967,Alaska,437
1968,Alaska,486
1969,Alaska,624
1970,Alaska,840
1971,Alaska,1112
1972,Alaska,1204
1973,Alaska,1269
1974,Alaska,1527
1975,Alaska,1900
1976,Alaska,2063
1977,Alaska,1804
1978,Alaska,1781
1979,Alaska,1994
1980,Alaska,1919
1981,Alaska,2537
1982,Alaska,2732
1983,Alaska,2940
1984,Alaska,3108
1985,Alaska,3031
1986,Alaska,3046
1987,Alaska,2391
1988,Alaska,2682
1989,Alaska,2623
1990,Alaska,2885
1991,Alaska,3499
1992,Alaska,3877
1993,Alaska,4557
1994,Alaska,4644
1995,Alaska,4656
1996,Alaska,4417
1997,Alaska,4270
1998,Alaska,4015
1999,Alaska,3908
2000,Alaska,3554
2001,Alaska,3735
