"Prisoners age 17 or younger in the custody of publicly or privately operated federal or state prisons, not including jails, by sex, December 31, 2017",,Prisoners age 17 or younger,,
Jurisdiction,,Total,Male,Female
,U.S. total,935,893,42
Federal/a,,42,36,6
State,,893,857,36
,Alabama,25,24,1
,Alaska/b,13,12,1
,Arizona,54,53,1
,Arkansas,24,23,1
,California,0,0,0
,Colorado,8,8,0
,Connecticut/b,55,53,2
,Delaware/b,11,11,0
,Florida,133,131,2
,Georgia,62,61,1
,Hawaii/b,0,0,0
,Idaho,0,0,0
,Illinois,0,0,0
,Indiana,24,24,0
,Iowa,10,10,0
,Kansas,0,0,0
,Kentucky,0,0,0
,Louisiana,21,18,3
,Maine,0,0,0
,Maryland,13,13,0
,Massachusetts,0,0,0
,Michigan,40,39,1
,Minnesota,8,8,0
,Mississippi,18,18,0
,Missouri,11,9,2
,Montana,0,0,0
,Nebraska,5,5,0
,Nevada,22,22,0
,New Hampshire,0,0,0
,New Jersey,0,0,0
,New Mexico/c,0,0,0
,New York,67,65,2
,North Carolina,76,72,4
,North Dakota/c,0,0,0
,Ohio,32,31,1
,Oklahoma,12,10,2
,Oregon,0,0,0
,Pennsylvania,27,26,1
,Rhode Island,0,0,0
,South Carolina,35,33,2
,South Dakota,0,0,0
,Tennessee,7,7,0
,Texas,42,34,8
,Utah,1,1,0
,Vermont/b,2,2,0
,Virginia,12,12,0
,Washington,0,0,0
,West Virginia,0,0,0
,Wisconsin,22,21,1
,Wyoming,1,1,0
