"Prisoners under the jurisdiction of state or federal correctional authorities and held in the custody of private prisons and local jails, 2016 and 2017",,Prisoners held in private prisons/a,,,,,,,Prisoners held in local jails,,,,,
Jurisdiction,,2016,2017,"Percent change, 2016–2017",,"Percent of total jurisdiction, 2017",,,2016,2017,"Percent change, 2016–2017",,"Percent of total jurisdiction, 2017",
,U.S. total,"128,323","121,420",-5.4,%,8.2,%,,"83,679","80,917",-3.3,%,5.4,%
Federal/b,,"34,159","27,569",-19.3,%,15.1,%,,832,869,4.4,%,0.5,%
State,,"94,164","93,851",-0.3,%,7.2,%,,"82,847","80,048",-3.4,%,6.1,%
,Alabama,348,264,-24.1,,1,,,"1,445","2,021",39.9,,7.3,
,Alaska/c,551,248,-55,,5.6,,,40,39,-2.5,,0.9,
,Arizona,"8,285","8,283",0,,19.7,,,0,0,0,,0,
,Arkansas,0,0,0,,0,,,"1,369","1,837",34.2,,10.2,
,California,"7,005","6,359",-9.2,,4.9,,,"1,651","1,762",6.7,,1.3,
,Colorado,"3,564","3,760",5.5,,18.9,,,376,164,-56.4,,0.8,
,Connecticut/c,508,515,1.4,,3.7,,,0,0,0,,0,
,Delaware/c,0,0,0,,0,,,0,0,0,,0,
,Florida,"12,176","11,676",-4.1,,11.9,,,"1,161","1,119",-3.6,,1.1,
,Georgia,"7,973","7,880",-1.2,,14.7,,,"5,066","4,752",-6.2,,8.9,
,Hawaii/c,"1,405","1,602",14,,28.5,,,0,0,0,,0,
,Idaho,420,432,2.9,,5,,,791,680,-14,,7.9,
,Illinois,0,362,100,,0.9,,,0,0,0,,0,
,Indiana/d,"3,927","4,061",3.4,,15.6,,,403,251,-37.7,,1,
,Iowa,0,0,0,,0,,,0,0,0,,0,
,Kansas,0,0,0,,0,,,78,97,24.4,,1,
,Kentucky,0,0,0,,0,,,"11,151","11,531",3.4,,49,
,Louisiana,0,0,0,,0,,,"20,623","18,587",-9.9,,55.1,
,Maine,0,0,0,,0,,,11,17,54.5,,0.7,
,Maryland,25,32,28,,0.2,,,94,58,-38.3,,0.3,
,Massachusetts,0,0,0,,0,,,363,261,-28.1,,2.9,
,Michigan,0,0,0,,0,,,0,0,0,,0,
,Minnesota,0,0,0,,0,,,"1,023","1,007",-1.6,,9.4,
,Mississippi,"3,078","3,121",1.4,,16.3,,,"5,040","5,133",1.8,,26.9,
,Missouri,0,0,0,,0,,,0,0,0,,0,
,Montana,"1,481","1,409",-4.9,,38.1,,,589,503,-14.6,,13.6,
,Nebraska,0,0,0,,0,,,149,151,1.3,,2.8,
,Nevada,0,575,100,,4.2,,,120,173,44.2,,1.3,
,New Hampshire,0,0,0,,0,,,44,51,15.9,,1.9,
,New Jersey,"2,720","2,659",-2.2,,13.6,,,83,87,4.8,,0.4,
,New Mexico/e,"3,040",0,:,,0,,,0,0,0,,0,
,New York,0,0,0,,0,,,13,2,-84.6,,0,
,North Carolina,30,30,0,,0.1,,,0,0,0,,0,
,North Dakota/e,0,0,0,,0,,,0,0,0,,0,
,Ohio,"6,259","7,224",15.4,,14,,,0,0,0,,0,
,Oklahoma,"7,149","7,353",2.9,,26.1,,,316,13,-95.9,,0,
,Oregon/f,0,0,0,,0,,,0,22,:,,0.1,
,Pennsylvania,680,407,-40.1,,0.8,,,526,382,-27.4,,0.8,
,Rhode Island/c,0,0,0,,0,,,0,0,0,,0,
,South Carolina,12,24,100,,0.1,,,344,341,-0.9,,1.7,
,South Dakota,34,34,0,,0.9,,,0,0,0,,0,
,Tennessee,"7,433","7,608",2.4,,26.3,,,"6,725","7,038",4.7,,24.3,
,Texas,"13,692","12,728",-7,,7.8,,,"12,051","11,549",-4.2,,7.1,
,Utah,0,0,0,,0,,,"1,618","1,405",-13.2,,21.8,
,"Vermont/c,d",264,0,-100,,0,,,0,0,0,,0,
,Virginia,"1,576","1,553",-1.5,,4.2,,,"7,931","7,370",-7.1,,19.8,
,Washington,0,0,0,,0,,,178,42,-76.4,,0.2,
,West Virginia,0,0,0,,0,,,"1,263","1,170",-7.4,,16.5,
,Wisconsin,0,0,0,,0,,,187,412,120.3,,1.7,
,Wyoming,269,237,-11.9,,9.6,,,7,21,200,,0.8,
