"Prisoners held in the custody of private prisons or local jails under the jurisdiction of state or federal correctional authorities, by jurisdiction, 2018 and 2019",,Prisoners held in private prisons/a,,,,,,,Prisoners held in local jails,,,,,
State/federal,,2018,2019,"Percent change, 2018-2019",,"Percent of total jurisdiction population, 2019",,,2018,2019,"Percent change, 2018-2019",,"Percent of total jurisdiction population, 2019",
,U.S. total,"118,444","115,954",-2.1,%,8.1,%,,"80,511","78,625",-2.3,%,5.5,%
Federal/b,,"27,747","27,409",-1.2,%,15.7,%,,649,698,7.6,%,0.4,%
State,,"90,697","88,545",-2.4,%,7.1,%,,"79,862","77,927",-2.4,%,6.2,%
,Alabama,369,122,-66.9,,0.4,,,"2,061","2,569",24.6,,9.1,
,Alaska/c,209,221,5.7,,4.9,,,35,38,8.6,,0.8,
,Arizona,"8,231","8,291",0.7,,19.5,,,0,0,0,,0,
,Arkansas,0,0,0,,0,,,"1,866","1,667",-10.7,,9.4,
,"California/d,e","3,952","1,134",:,,0.9,,,"1,667","1,599",-4.1,,1.3,
,Colorado,"3,909","3,858",-1.3,,19.5,,,259,238,-8.1,,1.2,
,Connecticut/c,507,526,3.7,,4.1,,,0,0,0,,0,
,Delaware/c,0,0,0,,0,,,0,0,0,,0,
,Florida,"10,524","11,915",13.2,,12.4,,,"1,123","1,109",-1.2,,1.2,
,Georgia,"7,801","7,883",1.1,,14.4,,,"4,689","4,867",3.8,,8.9,
,Hawaii/c,"1,483","1,248",-15.8,,23.6,,,0,0,0,,0,
,Idaho,"1,126","1,048",-6.9,,11.1,,,595,"1,015",70.6,,10.8,
,Illinois,523,513,-1.9,,1.3,,,0,0,0,,0,
,Indiana/f,"4,034","4,093",1.5,,15.1,,,315,316,0.3,,1.2,
,Iowa,0,0,0,,0,,,0,0,0,,0,
,Kansas,0,0,0,,0,,,91,208,128.6,,2,
,Kentucky,839,895,6.7,,3.9,,,"11,137","10,862",-2.5,,47.1,
,Louisiana,0,0,0,,0,,,"17,517","16,567",-5.4,,52.4,
,Maine,0,0,0,,0,,,15,11,-26.7,,0.5,
,Maryland,29,29,0,,0.2,,,107,109,1.9,,0.6,
,Massachusetts,0,0,0,,0,,,226,277,22.6,,3.4,
,Michigan,0,0,0,,0,,,0,0,0,,0,
,Minnesota,0,0,0,,0,,,804,894,11.2,,9,
,Mississippi,"3,217","3,139",-2.4,,16.2,,,"5,545","5,442",-1.9,,28,
,Missouri,0,0,0,,0,,,0,0,0,,0,
,Montana/e,"2,011","2,222",0,,47,,,33,295,0,,6.2,
,Nebraska,0,0,0,,0,,,146,131,-10.3,,2.3,
,Nevada,200,100,-50,,0.8,,,15,16,6.7,,0.1,
,New Hampshire/g,0,0,0,,0,,,40,52,30,,1.9,
,New Jersey,"2,652","2,297",-13.4,,12.3,,,211,227,7.6,,1.2,
,New Mexico,"2,051","2,445",19.2,,36.4,,,0,0,0,,0,
,New York,0,0,0,,0,,,2,0,0,,0,
,North Carolina,30,30,0,,0.1,,,0,0,0,,0,
,North Dakota,337,308,-8.6,,17.2,,,0,4,0,,0.2,
,Ohio,"6,567","6,766",3,,13.4,,,0,0,0,,0,
,Oklahoma,"7,277","6,474",-11,,25.2,,,13,9,-30.8,,0,
,Oregon/h,0,0,0,,0,,,0,0,0,,0,
,Pennsylvania,431,511,18.6,,1.1,,,359,0,-100,,0,
,Rhode Island/c,0,0,0,,0,,,0,0,0,,0,
,South Carolina,73,84,15.1,,0.5,,,314,346,10.2,,1.9,
,South Dakota,38,33,-13.2,,0.9,,,0,1,0,,0,
,Tennessee,"7,615","7,635",0.3,,29,,,"6,828","7,048",3.2,,26.7,
,Texas,"12,491","12,516",0.2,,7.9,,,"13,504","12,055",-10.7,,7.6,
,Utah/g,0,0,0,,0,,,"1,384","1,506",8.8,,22.6,
,Vermont/c,221,268,21.3,,16.7,,,0,0,0,,0,
,Virginia,"1,559","1,540",-1.2,,4.3,,,"7,206","6,750",-6.3,,18.7,
,Washington,0,0,0,,0,,,194,196,1,,1,
,West Virginia,0,0,0,,0,,,946,890,-5.9,,13.1,
,Wisconsin,0,0,0,,0,,,507,511,0.8,,2.1,
,Wyoming,391,401,2.6,,16.2,,,87,81,-6.9,,3.3,
